Student_ID,Age,Gender,Study_Hours_Per_Day,Attendance_Percentage,Assignments_Completed,Sleep_Hours_Per_Day,Previous_Semester_Marks,Final_Marks,Grade
1051,22,Male,2.3,88.1,8,6.8,65.7,74,B
1052,18,Male,1.3,74.4,7,8.6,58.7,63.1,C
1053,18,Female,5.1,71.7,5,6.4,47.8,61.8,C
1054,17,Male,5.7,92.4,7,5.5,88.2,87.4,A
1055,18,Male,1.1,92.4,10,5.6,85.6,68.8,C
1056,21,Female,4.6,94.7,5,8,95,75.8,B
1057,18,Male,2.6,96.5,5,7.5,94.8,81,A
1058,20,Male,5.5,80.5,6,5.4,72.8,73.9,B
1059,20,Male,2.2,80.1,5,5.3,83.4,56.7,D
1060,20,Male,5.8,91.9,4,7.8,92.2,80.1,A
1061,20,Male,3.7,86,8,5.3,87.5,68.4,C
1062,21,Female,7.6,88.1,8,8.3,57.4,75.8,B
1063,19,Female,2,91.8,7,7.8,67.5,71,B
1064,22,Female,3.4,95.6,10,5.3,51.5,77.2,B
1065,17,Male,1.8,73.5,5,5.3,92.7,54.3,D
1066,20,Male,7.5,75,4,8.9,75.3,82.5,A
1067,18,Male,7.1,63.8,7,6.5,56.4,67.7,C
1068,20,Female,2.8,83.1,6,6.5,78.6,63.9,C
1069,18,Male,5.6,61.4,7,8.3,75.9,70.1,B
1070,22,Male,6.7,78.6,7,8.8,62.9,74.1,B
1071,22,Female,4.9,81.7,5,8.9,50.7,68.4,C
1072,22,Male,4.7,71.5,6,8,78.6,67.6,C
1073,18,Female,2.7,83.6,7,6.5,71,66.8,C
1074,20,Female,1.7,61.2,4,5.3,83.6,54.1,D
1075,22,Female,7.3,61.5,4,8.1,71,72.2,B
1076,21,Male,7.3,92.9,8,7.2,87.6,84.3,A
1077,18,Male,5.4,74.4,6,6.7,72.6,68.4,C
1078,18,Male,3.4,65.1,6,8.6,73,69.3,C
1079,20,Male,3.4,80.9,8,5.4,88.8,73.5,B
1080,18,Male,6.1,90.8,7,7,65.2,72.5,B
1081,18,Male,7.3,68.6,6,5,51.7,68.6,C
1082,22,Male,7.2,84.9,4,6.9,46.4,74.8,B
1083,20,Female,6.5,63.4,4,5.2,82.8,61.6,C
1084,22,Male,5.5,62.1,5,5.5,76,69.1,C
1085,22,Female,1.6,81.3,6,5.5,80.2,57.6,D
1086,20,Male,2.1,81.6,7,7.6,55.6,63.7,C
1087,17,Male,7.3,85.5,8,8,51.8,75.5,B
1088,22,Male,5.2,89,8,7.3,45.7,61.8,C
1089,21,Female,1.1,99,7,8.8,62.5,57.4,D
1090,21,Female,1.7,80.7,10,6.5,74.5,66.2,C
1091,18,Female,5.6,72.9,9,6.1,64.6,73.5,B
1092,21,Female,1,91.8,5,8.5,66.9,57.1,D
1093,18,Male,2.1,70.8,8,5.9,90.2,68.6,C
1094,17,Female,4.8,77.6,6,8.9,62.4,62.6,C
1095,20,Male,5.8,63.1,5,5,70.7,65.2,C
1096,20,Male,5.6,61,6,8.9,84.2,68.7,C
1097,20,Female,2.6,98.5,10,5.2,64.8,65.7,C
1098,21,Female,6,93.4,4,8.6,76.1,79.5,B
1099,17,Female,2.7,87.8,5,7.1,88.1,65,C
1100,21,Female,3.3,76.4,8,9,92.5,74,B
